Utterance,Groundtruth,Google result
2_HongNhu_mic/audio_server/A114931977#25#9005550646510905.wav,mở lại bài nãy,mở lại bài này
2_HongNhu_mic/audio_server/A114931977#25#9005550646457600.wav,mở rèm đi,mở đèn đi
2_HongNhu_mic/audio_server/A114931977#25#9005550646422108.wav,mở truyện con rồng cháu tiên,mở chuyện con rồng cháu tiên
2_HongNhu_mic/audio_server/A114931977#25#9005550646406183.wav,mở truyện ăn khế trả vàng,mở chuyện ăn khế trả vàng
2_HongNhu_mic/audio_server/A114931977#25#9005550646400052.wav,mở truyện gì cũng được,mở chuyện gì cũng được
2_HongNhu_mic/audio_server/A114931977#25#9005550646282268.wav,tiếng sấm kêu sao,tiếng sóng kêu sao
2_HongNhu_mic/audio_server/A114931977#25#9005550646248618.wav,mở tin về giá vàng,đã tin về giá vàng
2_HongNhu_mic/audio_server/A114931977#25#9005550646202905.wav,mở tin của voh,mở tin cổ voh
2_HongNhu_mic/audio_server/A114931977#25#9005550646191019.wav,qua đài khác,qua bài khác
2_HongNhu_mic/audio_server/A114931977#25#9005550646181757.wav,mở đài to lên,mở đài bự đến
2_HongNhu_mic/audio_server/A114931977#25#9005550646157113.wav,chuyển podcast khác,chuyển podcast app khác
2_HongNhu_mic/audio_server/A114931977#25#9005550646152368.wav,mở to lên,mở bự lên
2_HongNhu_mic/audio_server/A114931977#25#9005550646092171.wav,tắt pháp thoại đi,tắt lại đi
2_HongNhu_mic/audio_server/A114931977#25#9005550646083179.wav,chuyển pháp thoại khác,chuyển phát lại khác
2_HongNhu_mic/audio_server/A114931977#25#9005550646060003.wav,tắt kinh đi,cách chưng đen
2_HongNhu_mic/audio_server/A114931977#25#9005550646055063.wav,tụng kinh đi,tụng kinh ni
2_HongNhu_mic/audio_server/A114931977#25#9005550646049090.wav,tắt kinh,bắc kinh
2_HongNhu_mic/audio_server/A114931977#25#9005550646023417.wav,kêu tôi dậy lúc 3 giờ sáng,kêu tôi dậy lúc 3 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550646010965.wav,nhắc tôi bệ hạ đã tới giờ làm lúc 7 giờ sáng,nhắc tôi để hạ đã tới giờ làm lúc 7 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550646002570.wav,nhắc tôi bệ hạ sẽ trễ làm lúc 7:30 sáng,nhắc tôi mẹ sẽ làm lúc 7:30 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550645994305.wav,nhắc tôi bệ hạ thịnh thức dậy lúc 7:45 sáng,nhắc tôi bài hạnh thức dậy lúc 7:45 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550645982699.wav,nhắc tôi bệ hạ xin người tỉnh táo lúc 8 giờ sáng,nhắc tôi đẻ xin người tỉnh táo lúc 8 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550645973706.wav,nhắc tôi bệ hạ vẫn còn cơ hội cuối cùng lúc 8:20 sáng,nhắc tôi vẫn còn cơ hội cuối cùng lúc 8:20 sáng
2_HongNhu_mic/audio_server/A114931977#25#9005550645963561.wav,nhắc tôi bệ hạ chúc ngủ ngon lúc 8:30,nhắc tôi chúc ngủ ngon
2_HongNhu_mic/audio_server/A114931977#25#9005550645944999.wav,nhắc tôi ngủ sớm lúc 2 giờ sáng mỗi ngày,nhắc tôi ngủ sớm lúc 2 sáng mỗi ngày
2_HongNhu_mic/audio_server/A114931977#25#9005550645922829.wav,8 giờ sáng nhắc tôi đi bơi,8 sáng nhất tôi đi bơi
2_HongNhu_mic/audio_server/A114931977#25#9005550645884544.wav,nhiệt độ ở sa pa đang là bao nhiêu,nhiệt độ ở sapa đang là bao nhiêu
2_HongNhu_mic/audio_server/A114931977#25#9005550645873924.wav,nha trang trời có nắng không,nhatrang trời có nắng không
2_HongNhu_mic/audio_server/A114931977#25#9005550645859690.wav,gọi cho loa của như,gọi cho loa của ngư
2_HongNhu_mic/audio_server/A114931977#25#9005550645852172.wav,gọi cho nhuận nhuận,gọi cho nhận nhận
2_HongNhu_mic/audio_server/A114931977#25#9005550645842859.wav,ngưng gọi đi,dừng gọi đi
2_HongNhu_mic/audio_server/A114931977#25#9005550645833508.wav,một hai bốn cộng hai ba bốn bằng mấy,24 + 24 bằng mấy
2_HongNhu_mic/audio_server/A114931977#25#9005550645809740.wav,giá xăng nay bao nhiêu,giá xăng hôm nay bao nhiêu
2_HongNhu_mic/audio_server/A114931977#25#9005550645805083.wav,giá đô nay bao nhiêu,giá đô hôm nay bao nhiêu
2_HongNhu_mic/audio_server/A114931977#25#9005550645800363.wav,hiện có bao nhiêu ca cô vít,hiện có bao nhiêu calories
2_HongNhu_mic/audio_server/A114931977#25#9005550645795232.wav,hà nội đang có bao nhiêu ca cô vít,hà nội đang có bao nhiêu cây
2_HongNhu_mic/audio_server/A114931977#25#9005550645790173.wav,chủng cô vít mới là chủng gì,chuẩn của việt mới là chủng gì
2_HongNhu_mic/audio_server/A114931977#25#9005550645780580.wav,dịch câu ai lớp du sang tiếng nhật,dịch câu i love you sang tiếng nhật
2_HongNhu_mic/audio_server/A114931977#25#9005550645776044.wav,dịch câu ngu ngốc sang tiếng nhật,dịch câu ngốc sang tiếng nhật
