Utterance,Groundtruth,Google result
48_Nghia_mic/audio_server/A114931977#25#9005550621584277.wav,mở danh sách nhạc yêu thích,mở danh sách nhạc youtube
48_Nghia_mic/audio_server/A114931977#25#9005550621551891.wav,mở nhạc rì mít,mở nhạc remix
48_Nghia_mic/audio_server/A114931977#25#9005550621531192.wav,mở nhạc không lời trong hai mươi phút,mở nhạc không lời trong 20 phút
48_Nghia_mic/audio_server/A114931977#25#9005550621524203.wav,thêm bài đang phát vào danh sách nhạc yêu thích,tìm bài đang phát vào danh sách nhạc yêu thích
48_Nghia_mic/audio_server/A114931977#25#9005550621459282.wav,tắt nhạc sau một giờ,tắt nhạc sau 1 giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621447692.wav,chỉnh nhiệt độ máy lạnh hai bốn độ,chỉnh nhiệt độ máy lạnh 24 độ
48_Nghia_mic/audio_server/A114931977#25#9005550621435842.wav,giảm nhiệt độ máy lạnh hai độ,giảm nhiệt độ máy lạnh 2 độ
48_Nghia_mic/audio_server/A114931977#25#9005550621430281.wav,tắt tiếng ti vi phòng khách,tắt tiếng tivi phòng khách
48_Nghia_mic/audio_server/A114931977#25#9005550621402099.wav,kể truyện cười,kể chuyện cười
48_Nghia_mic/audio_server/A114931977#25#9005550621397516.wav,kể truyện tấm cám,kể chuyện tấm cám
48_Nghia_mic/audio_server/A114931977#25#9005550621392432.wav,kể truyện cổ tích trong một giờ,kể chuyện cổ tích trong một giờ
48_Nghia_mic/audio_server/A114931977#25#9005550621386293.wav,tắt kể truyện sau ba mươi phút,tập kể chuyện sau 30 phút
48_Nghia_mic/audio_server/A114931977#25#9005550621381323.wav,kể truyện thạch sùng,kể chuyện thạch sùng
48_Nghia_mic/audio_server/A114931977#25#9005550621376998.wav,kể truyện thánh gióng,kể chuyện thánh gióng
48_Nghia_mic/audio_server/A114931977#25#9005550621372291.wav,kể truyện sự tích cây vú sữa,kể chuyện sự tích cây vú sữa
48_Nghia_mic/audio_server/A114931977#25#9005550621362417.wav,kể truyện trí khôn của ta đây,kể chuyện trí khôn của ta đây
48_Nghia_mic/audio_server/A114931977#25#9005550621350081.wav,bật bờ lu tút,bật bluetooth
