ID,Sentences
1,TÍNH GIÙM MỘT CỘNG MỘT
2,TÍNH GIÙM MỘT CỘNG MỘT
3,TÁM GIỜ SÁNG NHẮC TÔI ĂN SÁNG
4,GỌI TÔI DẬY LÚC BẢY GIỜ
5,XÓA NHẮC NHỞ LÚC BA GIỜ CHIỀU
6,NHẮC TÔI ĐI DẠO LÚC NĂM GIỜ MỖI NGÀY
7,BA GIỜ CHIỀU NHẮC TÔI ĐI DẠO
8,NĂM GIỜ CHIỀU NAY TAO CÓ NHẮC NHỞ GÌ KHÔNG
9,MỖI NGÀY ĐÚNG SÁU GIỜ KÊU TAO DẬY
10,ĐẶT BÁO THỨC LÚC SÁU GIỜ
11,DỪNG BÓT CÁT
12,BÓT CÁT ĐANG PHÁT TÊN GÌ
13,MỞ TO LÊN MỘT NẤC
14,MỞ RA ĐI Ô TRONG HAI GIỜ
15,MỞ TIN CÔ VÍT
16,MỞ ĐÀI VÊ Ô VÊ
17,MỞ ÉP EM CHÍN MƯƠI CHÍN CHẤM CHÍN
18,MỞ VÊ Ô HẮT
19,CÒN MẤY NGÀY NỮA ĐẾN NGÀY HAI LĂM THÁNG BA
20,GIẢM ÂM LƯỢNG HAI MƯƠI PHẦN TRĂM
21,BẬT LU TÚT
22,KỂ CHUYỆN TIẾP THEO
23,KỂ TRUYỆN KHÁC ĐI
24,KỂ TRUYỆN CỔ TÍCH HAI TIẾNG
25,KỂ HAI TRUYỆN CỔ TÍCH
26,TẮT TI VI
27,MỞ TI VI
28,GIẢM MÁY LẠNH HAI HAI ĐỘ
29,TUI VỀ RỒI
30,MỞ MƯỜI BÀI HÁT NHẠC QUẨY
31,MỞ NHẠC ĐẾN HAI GIỜ CHIỀU
32,MỞ NHẠC TRONG HAI GIỜ
33,MỞ BÀI CHÂN TÌNH HAI LẦN
34,BAO NHIÊU TIỀN MỘT CÂY VÀNG
35,HAI NGÀN
36,TÔI GHÉT BẠN TIẾNG THÁI LAN LÀ GÌ
37,PHẠM PHƯƠNG HẰNG LÀ AI
38,NHẬN CUỘC GỌI
39,SÀI GÒN HÔM NAY CÓ GIÔNG KHÔNG
40,MỞ TẬP CỦA MỘT CHƯƠNG TRÌNH NGUY CƠ
41,MỞ BÓT CÁT CỦA QUỐC KHÁNH
42,MỞ BÓT CÁT CỦA QUỐC KHÁNH
43,MỞ BÓT CÁT
44,BỎ QUA KÊNH NÀY
45,MỞ TIN TỨC KÊNH ÉP EM CHÍN MƯƠI TÁM CỦA VÊ Ô VÊ
46,MỞ TIN TỨC KÊNH ÉP EM CHÍN MƯƠI TÁM CỦA VÊ Ô VÊ
47,MỞ TIN BUỔI SÁNG
48,MỞ KÊNH DON ÉP EM
49,MỞ ĐÀI VÊ Ô VÊ
50,MẾ ĐI Ờ
51,ĐIỀU KHIỂN LU TÚT
52,KỂ LẠI TRUYỆN MỘT LẦN NỮA
53,MỞ TRUYỆN MA TRONG NĂM TIẾNG
54,MỞ NĂM TRUYỆN CỔ TÍCH ĐI
55,TIỄN KHÁCH
56,TRẢ MÁY LẠNH XUỐNG HAI ĐỘ
57,MỞ DANH SÁCH NHẠC CỦA QUÉT LAI
58,MỞ MƯỜI BÀI HÁT NHẠC QUẨY
59,MỞ NHẠC ĐẾN HAI GIỜ CHIỀU
60,MỞ NHẠC TRONG HAI GIỜ
61,THÁNG TÁM CÓ BAO NHIÊU NGÀY
62,Ở GIỮA SỐ SÁU VÀ SỐ TÁM LÀ SỐ MẤY
63,MẮC GÌ KHÔNG CÓ AI PHON CHÍN VẬY MAI CA
64,CÓ MỘT TRĂM CA THÌ NÊN ĂN GÌ
65,DỊCH CHO TÔI HAI LY TRÀ SỮA SANG TIẾNG ANH
66,GỌI QUÁN BI GIA
67,MAI CÓ MƯA KHÔNG MAI CA
68,ĐÀ LẠT THÁNG SÁU LẠNH MẤY ĐỘ
69,THÁNG TƯ Ở NHA TRANG CÓ NẮNG LẮM KHÔNG
70,BỐN GIỜ CHIỀU Ở QUẬN MỘT CÓ MƯA KHÔNG
71,HAI BA NGÀY TRƯỚC BA MƯƠI THÁNG TƯ NHẮC ANH ĐẶT BÀN VỚI ĐẶT PHÒNG
72,TRƯỚC NGÀY VA LANH THAI NHỚ NHẮC ANH ĐI MUA HOA
73,ĐẶT NHẮC NHỞ ĐI KHÁM RĂNG VÀO NGÀY BA THÁNG SÁU VỚI NGÀY BẢY THÁNG CHÍN
74,BA TIẾNG NỮA CÓ NHẮC NHỞ GÌ
75,THỨ HAI BA NHẮC ANH ĐI DẠY ĐÚNG BỐN GIỜ
76,BẢY GIỜ SÁNG MAI NHỚ KÊU ANH DẬY
77,HAI TIẾNG NỮA NHẮC ANH CHƠI GEM
78,SÁU GIỜ SÁNG MAI ANH CÓ HẸN LÊN MÁY BAY NHỚ NHẮC
79,CHUYỂN BÁO THỨC TỪ SÁU GIỜ THÀNH SÁU GIỜ BA MƯƠI
80,ĐỌC KINH TRONG VÒNG BA MƯƠI PHÚT
81,MỞ THỬ MẤY BÀI BÓT CÁT
82,ĐỌC TIN CHO CẢ NHÀ NGHE ĐI MAI CA
83,TÁM GIỜ SÁNG EM MỞ TIN TỨC CHO ANH
84,ĐỌC TIN RÌ VIU VỀ MÁC BÚT ĐI EM
85,BẬT TÁC HẠI CỦA NGHIỆN GEM CHO TỤI NHỎ NÓ NGHE ĐI MAI CA
86,MAI CA CHUYỂN TIN
87,ĐỌC TIN ĐÁ BANH U HAI MƯƠI BA VIỆT NAM ĐI EM
88,BẬT TIẾNG MỘT ĐÀN CHÓ
89,NGÀY TÁM THÁNG BA LÀ THỨ MẤY TA
90,NGÀY MỘT THÁNG NĂM LÀ NGÀY MẤY
91,NÔ EN NĂM NAY
92,NAY NGÀY MẤY THÁNG SÁU RỒI
