sid,orig_text,post_text
1,TÍNH GIÙM MỘT CỘNG MỘT,TÍNH GIÙM MỘT CỘNG 1
2,TÍNH GIÙM MỘT CỘNG MỘT,TÍNH GIÙM MỘT CỘNG 1
3,TÁM GIỜ SÁNG NHẮC TÔI ĂN SÁNG,8 GIỜ SÁNG NHẮC TÔI ĂN SÁNG
4,GỌI TÔI DẬY LÚC BẢY GIỜ,GỌI TÔI DẬY LÚC 7 GIỜ
5,XÓA NHẮC NHỞ LÚC BA GIỜ CHIỀU,XÓA NHẮC NHỞ LÚC 3 GIỜ CHIỀU
6,NHẮC TÔI ĐI DẠO LÚC NĂM GIỜ MỖI NGÀY,NHẮC TÔI ĐI DẠO LÚC NĂM GIỜ MỖI NGÀY
7,BA GIỜ CHIỀU NHẮC TÔI ĐI DẠO,3 GIỜ CHIỀU NHẮC TÔI ĐI DẠO
8,NĂM GIỜ CHIỀU NAY TAO CÓ NHẮC NHỞ GÌ KHÔNG,5 GIỜ CHIỀU NAY TAO CÓ NHẮC NHỞ GÌ KHÔNG
9,MỖI NGÀY ĐÚNG SÁU GIỜ KÊU TAO DẬY,MỖI NGÀY ĐÚNG SÁU GIỜ KÊU TAO DẬY
10,ĐẶT BÁO THỨC LÚC SÁU GIỜ,ĐẶT BÁO THỨC LÚC 6 GIỜ
11,DỪNG BÓT CÁT,DỪNG BÓT CÁT
12,BÓT CÁT ĐANG PHÁT TÊN GÌ,BÓT CÁT ĐANG PHÁT TÊN GÌ
13,MỞ TO LÊN MỘT NẤC,MỞ TO LÊN MỘT NẤC
14,MỞ RA ĐI Ô TRONG HAI GIỜ,MỞ RA ĐI Ô TRONG 2 GIỜ
15,MỞ TIN CÔ VÍT,MỞ TIN CÔ VÍT
16,MỞ ĐÀI VÊ Ô VÊ,MỞ ĐÀI VÊ Ô VÊ
17,MỞ ÉP EM CHÍN MƯƠI CHÍN CHẤM CHÍN,MỞ ÉP EM 90 CHÍN CHẤM CHÍN
18,MỞ VÊ Ô HẮT,MỞ VÊ Ô HẮT
19,CÒN MẤY NGÀY NỮA ĐẾN NGÀY HAI LĂM THÁNG BA,CÒN MẤY NGÀY NỮA ĐẾN NGÀY 25 THÁNG 3
